27450168,22150080,163877409
49912439,163877409,23702397
104871512,163877409,494696880
219855843,24490384,23702397
217984518,41511637,130176159
25844958,18721502,23702397
40961474,10876852,17652777
41554056,14372486,23654341
24391888,368898559,16202733
37838964,14227046,40164390
40164390,14227046,37838964
518304539,445348992,8051992
368898559,24391888,16202733
191793302,285708672,10418002
7768572,16827173,37461389
233582757,31812497,11268812
19946977,50393960,19029137
14618151,177310174,14208982
38303040,13613292,19802879
161445523,49089235,11268812
35432131,3829151,27475761
127625661,407259902,75829996
281765007,44312605,63135128
165498547,44473103,196429355
463410501,193076197,48108211
137117427,310687757,39689218
13393052,14328009,5392522,1183041
219488278,68055854,18768302,188451901
64023334,253249630,61826180,317915747
32943157,28093064,64023334,41031095
145707002,179724468,230871978,90057908
156957238,220862287,334800121,40981798
186991088,230871978,90057908,488141609
74124814,70722499,256151803,208637263
23555995,32943157,289649663,28093064
28093064,41031095,32943157,289649663
41031095,289649663,28093064,32943157
183433270,5671112,26341298,25756324
45855846,15439395,38955381,20745274
27052547,411202965,19637934,33918957
25756324,183433270,5671112,26341298
19980947,145664482,92943741,14915043
151327185,43115008,79797834,12513472
275575393,285332860,83855918,16727535
18124625,57615171,30313925,813286
381548751,26514893,19580783,33491215
6852682,813286,219393201,14258424
149130042,143126181,39360648,37896651
52775514,813286,4970411,42483486
171283600,74265849,4970411,108352527
100570359,200497519,83855918,156380350
153810519,30313925,813286,14224719
151303092,20192017,26106642,160968596
144071472,14230524,259379883,17919972
160994217,117252513,51166558,683113
283437893,27814665,12925072,13058232
19987315,972651,1495,14239496
113359047,64324543,39413716,51446354
327462587,14803701,783214,11928542
15220822,20587191,19592306,20558878
108424962,33347901,73099320,22949812
16591089,19637934,115485051,113897988
102595595,19877186,17732153,30364057
29396753,74231747,139162440,15485441
18278968,277623919,59654289,5759752
232063130,126458229,195564709,57851704
308519225,162065142,301762017,23151437
211902633,274770287,132766651,112449019
54250169,23151437,81861565,132766651
339368695,490616971,364243152,423938796
280810154,482586204,31112508,20726549
31112508,17546467,12333362,20726549
16649247,12916252,12333362,107527425
18614935,34848795,34381602,1679071
83779920,8335182,8332992,8346982
14237490,184899907,14280977,14154172
184138657,43318595,25473689,19040580
165640851,155118307,155118307,121353356
18717114,347788475,165640851,18757110
193990550,4197051,9290802,14827241
155118307,165640851,165640851,15838599
112651758,189534066,227771636,458738497
282633717,98306941,48505632,67760575
170903844,129280923,109118967,65077059
95821527,227771636,129684862,176678433
42557860,175465379,15648827,125492611
130668506,175465379,124646065,425512965
517737246,128801799,227771636,117606553
191300142,15648827,170451817,221676481
340082017,29749448,36483808,31927467
473065534,39169042,349199638,18625021
23773846,247904541,245588569,84379342
105352142,25312759,28466219,23153736
258774124,23153736,25312759,22014639
14360947,75160602,14256380,28796887
249313026,14326533,63485337,45862504
153842929,82525569,20176119,15110125
237488083,19717234,78190623,89690502
18628153,59872379,20273398,47667972
113239457,17093617,19195914,284805543
33644416,29562655,16580351,18336459
432093,14523801,19388771,18776605
106927162,22183923,23133578,48459300
42847985,25084978,199019831,16125750
62065567,163297524,158848407,135577953
45914299,15398191,5768872,126146818
18243413,14075928,30973,5768872
42622701,23133578,16364222,29962952
27118364,18336459,29562655,14075928
171580284,53732896,5402612,612473
508524296,19970709,19586880,19982092
51075903,19982092,148154970,14230524
146894920,270315611,5402612,16672510
483329876,113126125,33174013,111366085
43035404,26132393,207859034,486955518
14256964,68610983,20332982,16961384
25764304,166747718,23065354,18327944
17905715,24223641,24626969,7215512
14278331,70551097,22035674,16943753
28876758,38048560,16908562,9890492
51762099,28609947,77908802,80107076
377806143,42181827,807095,17883289
15679641,16664681,807095,16713771
490557566,21188490,328726293,77888423
28121435,328726293,269314374,29322917
41665878,27074378,112503972,27479039
15019548,22872643,59724733,20609518
16974572,27512951,20596035,31291086
32045725,79797834,20609518,62581962
77120712,234087758,141021153,94918917
36626522,58134258,293888177,129314858
247463533,280776881,64508148,19555067
41950770,38471766,155422737,140620630
116377696,219173613,71404521,194430621
55943201,85166539,52937837,295203264
288021784,155422737,40519997,74532121
195614217,295759517,263545304,142801388
23278844,22594012,16520993,15058148
22134978,11348282,17471979,930061
76622099,540789120,228271873,551473324
21119799,20298371,32496437,17674486
14747960,136361303,22830044,20298371
40875985,64219788,90420314,16619881
311539323,221005474,83665015,271139098
304892865,174904516,30098539,23970971
14108564,7376382,19279990,15372377
315955214,338458786,23970971,14499788
23949642,36008477,22594347,11928542
114685387,139986343,70735999,130682467
82224710,252192024,108441652,18104752
502281810,16303106,14824849,23544596
80075444,48050142,12580532,24194098
93898319,16550142,14408705,35816920
19715003,42977712,15693493,15693493
115486770,89503894,24083901,16941646
17274055,115485051,131351549,14824849
12482312,6153752,30118768,1183041
519965329,14461282,410375479,14718229
231584757,15460296,16522388,172331081
17244030,180505807,7233772,10090902
48438876,32765534,20,783214
166270334,160964014,23841960,160965385
18091004,210933449,183206939,230845588
410375479,519965329,652193,14461282
27131977,16303106,31353077,63485337
38705128,191876164,160392833,12771872
30819959,30072713,30072713,30072713
151122754,148731444,90964854,34579454
94119095,44705716,14505838,44705716
44705716,14505838,14505838,14505838
347457291,232762581,119706266,421509544
208411504,96477040,169686021,93557607
332578378,240358326,53318310,25765885
29912355,22910923,25797630,45044245
223586053,232762581,59974294,46581868
556156570,24883888,169686021,21648607
55019353,28235685,21817105,23642374
59974294,372968469,232762581,28235685
163161218,22910923,53318310,96477040
61355746,23642374,42519612,28665877
15639334,1260231,652193,13334762
136865608,155696919,353101127,16275037
17561826,6160742,47,6331462
18974638,18976476,180505807,35357461
19507576,15543818,180505807,14904282
21196272,174958347,5827292,22084427
17798441,18414485,5994452,1678471
606083,15236339,113963,48443
130268655,22588327,1260231,10587552
5827292,180505807,14267393,21196272
7461782,528,15109716,2735631
12081222,1859981,14087951,5813712
155696919,136865608,353101127,109186893
757502,2727051,1765921,551433993
56518880,21586418,813286,6446742
214174332,63485337,24166202,22412376
162565875,27195114,19028953,262844190
6208052,15485441,115485051,15227791
50071159,15853668,14654965,18784462
41243039,66905823,52551600,26257166
28650543,22940219,18222378,3004231
18220386,22940219,6273552,18222378
289080296,15485441,115485051,26257166
14447348,21955058,52551600,14994465
25651615,61543956,208452663,130734452
27312561,25651615,113425681,21506437
3587691,12044602,16351704,35291470
115778248,29784240,17500206,29552290
8962452,16133208,15526814,18790513
22961914,16664681,24424732,807095
55374680,26785513,38789654,29535333
884301,29552290,783837,15245975
460493,9645092,12044602,15081068
27974947,92614930,44413589,41188718
22999665,14391242,14580197,6666892
18465376,2172,14220046,7581972
14391242,6273552,7846,2172
14577594,2172,20,3471
18114391,16303106,34175976,16827760
35300637,41717904,14097710,50835878
66173413,83883736,11348282,811377
50241304,19060726,153812978,17037854
194008976,168462348,123193555,237219812
166712645,17092592,59751576,125938349
7335912,151820156,15680204,15134782
135822634,57960833,43065900,49415743
57960833,26727250,123434827,20447194
133698176,194008976,188676311,38688973
18411994,22716822,5567802,18100254
21389945,23770107,16128259,4964241
16886241,115485051,294325981,136293558
15718271,16303106,27870530,3286871
20015511,16660451,28596709,50325964
18651656,5567802,59253387,18510499
34412918,5433512,268332181,930061
4964241,23770107,16128259,21389945
15361984,237845487,234821105,180505807
16128259,21389945,4964241,15492359
302971732,18624979,16043008,18470483
18470483,302971732,16043008,18624979
254399342,105643923,237420957,93885127
25412522,972651,10228272,20536157
6834922,9313362,4068821,4068821
112086806,15774118,18963070,25473689
19476868,52968650,451586190,11928542
220336959,299373263,30008146,18479513
507762718,35865630,96915603,130997057
444181364,15888142,15635604,20353192
93049017,250831586,38706884,15858135
40297598,15888142,15635604,2605681
90513723,16786977,44228076,44228076
345949016,131035035,26689476,23573987
18716535,10350,28165910,15666380
456104299,15666380,41600293,65184105
344743374,352290492,222621758,367720765
21811029,16552794,15349708,14763
105601382,71438267,13104722,31353077
24630350,14242687,66499322,289074893
184923983,182609394,15924858,47787563
317264411,23039989,47787563,14639859
559909180,390659661,361911748,47787563
302121596,26665895,14104001,135421323
414921431,135146957,135146957,135146957
415801474,261001122,41294878,34455805
214997269,151287563,151287563,151287563
242712263,25365536,395314969,21447363
110295554,73992972,92367751,25365536
23690773,259379883,21447363,25365536
236699098,34507480,73992972,25365536
19980698,352801918,5438512,7573752
34363347,25757838,53178109,18479513
14103333,22387625,7888452,15161572
57099642,156140767,30033750,18479513
17337554,4519121,23818581,15485441
12828932,17093617,19602269,10828712
17079375,17382568,48564118,6141832
22213141,13691782,11348282,17382568
80650549,386161471,124538838,17093617
15087388,11348282,16580226,15292252
25374040,54885400,115485051,14824849
18656830,2363721,3829151,710143
68793327,14618863,22047070,211329226
189200482,22027186,791124,657863
256363919,14824849,52551600,53238154
116350958,634563,813286,8943
294728278,7841652,18646108,223970563
167122787,118756393,17061263,16157855
939091,813286,409486555,813286
280704663,41634520,56413858,16031927
61220477,18906561,7259302,15808765
57507026,107114063,451586190,16364399
207512107,11611052,56413858,37764422
15792723,13920962,28165790,5645142
137468647,81188451,11004512,14237099
299466818,81188451,19522452,11004512
17260743,7744882,14118444,7350962
15222719,809010,813286,12311462
34656783,16904234,17233110,57729132
15292112,14089458,809010,9509482
38702590,10386662,23105968,46650115
22087237,16303106,1183041,18498684
21693877,18713254,10810102,14314315
235223670,84158139,814693,17636894
13420,8501792,61133,13276422
34471534,66713854,30846470,292354838
43523961,294163852,18958668,362055950
7380372,111301832,14283643,321045403
266257559,22461427,188124096,22461427
176297531,14411797,4257571,5763262
9607482,19692563,110062708,20121672
16546421,47300339,24902183,22785864
22785864,24902183,47300339,16546421
136135705,22872643,14506253,14824849
88637147,42575745,56449463,16431586
53652453,26820876,15228461,14454247
276912738,19959017,7594622,29013076
53901125,16489432,14613514,20188680
33904316,18219812,16095207,210880150
14463977,25336166,16921690,12509262
61578356,16095207,61196153,14183970
15807482,14658627,18942977,11060982
487852864,115485051,12611642,62581962
17517817,28706024,14345566,31353077
282660061,15519544,8161232,1701921
6418272,16880577,6146092,19276364
43933830,43882867,43591449,43595850
237184108,99053332,104324908,104324908
113794916,254073,27217496,21689294
471990460,418,852041,5750612
23543726,12250252,418,18206161
16060054,14824849,112508240,10810102
14585862,62581962,14818124,14641615
34720571,34879526,31671050,22461427
25209740,813286,62581962,14749383
35145786,20197572,31671050,15296862
25385657,6297852,21249747,21267855
286988674,22027186,115485051,14824849
22939740,20248774,19996594,18030840
35913238,86485333,37814093,31671050
9765902,29828034,388784702,16151999
239639973,36303200,113112076,203307838
21272932,835261,114284807,885321
5765442,164081537,10669942,55374931
164081537,196843248,5765442,13212522
72396505,59819340,8708232,1118691
14076314,14266401,10669942,873411
17773554,156967608,13370272,16069493
12001262,22882670,244145776,44759834
16216738,15989423,22882670,18825668
315490964,18957805,90182444,1465481
6858732,1827071,14361698,14892191
79810875,972651,22771839,18676177
44736701,56090458,972651,23967578
36867372,24815332,17313445,29739664
19538782,972651,14120151,15131310
21345455,15131310,14511951,14412888
88957030,19195914,14511951,27091468
20187037,7531732,15768141,13333632
63018177,19195914,16274879,18939092
147044082,972651,22734080,14353392
19848777,30905120,80428362,34669164
19681025,22771839,972651,29739664
11854452,16303106,115485051,1183041
14341577,10528232,15152552,15385661
292171776,813286,115485051,7831092
180673069,180370473,181333663,180675493
15976255,26518842,410469035,130617778
26518842,15976255,15679111,393061091
242879615,245424983,118530377,20479813
188014427,30647780,163920178,37666933
152580711,21118985,105301066,17346178
390536220,212808638,15416739,60499882
11001222,18510860,15907720,20437286
294309755,295337419,20479813,20437286
131300402,103386775,118530377,24045071
70760998,37685463,31584156,23206549
17346178,9884192,169083205,48900286
35542154,30364057,23738945,115485051
29905455,813286,14075928,16129920
129036365,123682841,15055256,83295731
36038307,18327279,31583882,21692297
123682841,20540661,97119524,18486038
270546805,813286,14075928,19299909
29403586,16129920,813286,169152664
101476381,39470235,199481637,20039889
18332578,50393960,5402612,14728168
109976753,14154272,41795342,5402612
18255636,1688461,2892261,14454264
21611058,16786977,107568836,61627015
14766130,1688461,1250991,16170178
17023510,15661871,2100521,15155577
1126941,767396,774096,2230831
28828267,39543915,18361967,36711411
61627015,107568836,30614676,107568836
19541837,5931412,19605824,16739914
188866859,49520842,88749392,3088721
24273880,763699,2153241,10350
579703,15738725,10350,862681
7352872,1586501,6981492,3088721
63544859,10350,2153241,12011422
14104884,1760931,1000591,4488
195452761,156458599,33046532,21316821
16067443,7004532,87819736,87070573
87474457,57504247,66824339,66000581
16515646,121468302,16810393,2788841
37440799,23557006,18232524,196035050
30605939,77888423,184910040,14230524
16598966,16522668,16067443,15887485
87280497,15329368,137782723,367902505
46682302,33464639,33464639,33464639
355069062,27855118,105918185,128194782
168790039,15737386,87233826,27025598
43961854,813286,16725276,24009801
342697830,18776017,15234657,24742040
15917485,13843082,14075928,21889970
16806252,16018368,23167567,20765038
107456903,20765038,16018368,16806252
87233826,27025598,168790039,15737386
15397003,5405152,16685316,133452130
239631785,19637934,68745412,14677919
62934462,26910839,52146755,19659605
19659605,3829151,62934462,54682125
65098725,60402167,20524102,15861559
319364916,17073,18244833,14186288
897351,21116178,27499938,20344426
188122648,41992038,30544925,35423466
27499938,20344426,21116178,897351
21116178,27499938,897351,20344426
244622783,15036232,107796550,18244833
120952684,124242102,231306638,32340023
104997734,42902605,39281617,19043902
31756213,46893921,47669345,63253045
105565907,71429309,15860392,25317426
22114631,14622632,34311069,15603688
205067044,30418870,63253045,18197944
169758807,213670984,67819221,61687416
273147790,34447694,61687416,21411327
38167383,15485441,259379883,21414413
418347726,15484730,27733550,35680393
17328919,30855079,213670984,21703165
14191945,17004618,807095,59157393
535803548,18440713,345739513,377709656
96160877,16589495,20646945,59814196
117292837,813286,144284168,165372857
37650790,64938425,64939061,813286
78644553,26565946,18657864,43815496
14958060,69757018,178215712,18170896
156701544,12611642,20273398,18581803
219430662,33952755,15447248,41172837
19014101,25093616,7846,32774989
319137691,22461427,237821565,115485051
32415179,22461427,115485051,48616550
17406063,115485051,12881,22461427
448132271,90880254,5538252,14645160
22760871,166155537,16253907,1183041
112243614,30447805,22461427,36008477
14643144,14589869,15193629,24884251
29051437,15018214,375699765,343797833
64430805,29638408,50912438,37745819
150120631,37338814,41229669,43283406
43723718,22412376,44201943,18825961
18904280,26266729,45138927,147986569
144128090,102687765,102632870,102632870
5570042,21512236,14390721,19876236
250700324,18825961,37338814,41229669
15759192,25521487,19637934,15158217
36880083,66528154,66528154,66528154
103990561,37338814,37338814,49588164
50095767,63485337,63485337,63485337
283091534,260077133,10671602,17759701
338266202,38435868,300564635,72472227
47459573,90767831,238319766,156411211
20602182,21843378,22122372,14813320
310463188,46671731,20978103,66544351
470219128,19656551,99607756,15999738
16696747,19029871,22122372,32122637
22122372,20602182,16696747,19029871
359714186,159701147,21843378,55154396
619423,22872643,120892393,90767831
535803218,159701147,145861154,82957231
19029871,22122372,16696747,10926202
17071370,18314308,17071337,18202441
18702213,16478689,26711120,34450688
22662438,17688797,24231531,17448545
71374131,525782519,40288959,39423418
18455970,16729508,17071337,29391321
16636947,16264006,26711120,17201277
4050431,52841768,16729508,50342678
223840796,17293897,138416662,79797834
216893123,71256932,22737278,17004618
20682530,17293897,183321820,71256932
16232158,14889753,79797834,15816424
101501193,163937752,113728847,17169112
40209763,17663756,19078594,15439395
180201492,129450434,151967930,128242818
53245974,14428800,14415695,1183041
30162354,87031118,91919470,16732620
29285720,62513246,158414847,17663756
81236445,14075928,20609518,23188724
186510649,27855118,23452335,7194892
4997601,454340464,7194892,14847279
8156402,275686563,17092592,45862504
54113070,45862504,63320588,17092592
407608241,23452335,27855118,157652825
28942395,19086859,16906137,9489712
159065451,813286,8192222,10191
282273798,16303106,16303106,158414847
152309350,19012849,32155959,117855962
32155959,71854887,117855962,19012849
191092753,15788183,38752792,14453232
286237310,38752792,14453232,9533042
17425582,62591681,68532796,16721886
210629559,18338227,783214,16654276
20474841,48026211,7551052,25592566
94038792,14089195,18493027,17601969
14366992,4829901,15847059,7165492
14995208,4519121,19367815,93957809
68532796,17425582,16721886,62591681
14199666,6438,7565232,4829901
9887492,74594552,102140350,33423
55875781,384940236,95320377,7111512
15847059,14366992,4829901,14305530
16136729,64876717,15361570,14366992
275236368,94038792,14089195,255388236
52587476,3475,11969,20609518
16216465,7551052,7111512,94038792
15339201,33423,33423,6370862
128164334,117078952,15234657,157652825
21786618,330502724,14266598,14075928
23120154,17093617,16317238,15458520
50799521,16725625,45797521,84416621
101609086,186870060,259995189,142818316
35023552,37710752,159585647,32812049
35974260,15470069,122269074,159585647
19568974,159585647,311227912,37710752
45863536,214997269,92435040,14447453
220213970,28424537,20067341,113205908
150182681,148608852,125653548,119235800
38094287,122269074,14952953,18159189
48354754,11447852,47707475,17093617
7494482,32423136,661403,6141832
19159855,111428431,278392569,501836993
119053424,39394932,192802705,15816424
18162576,115597733,1026321,15095331
12973892,816214,16849405,73436916
111428431,278392569,14082692,386420143
40718256,36735522,18698454,18343056
14446422,9045242,296434121,17919972
3249,10876852,13027572,8946142
17633614,84463170,61131781,198285459
14930659,19725644,15439395,14580197
17761888,7861312,14413075,657863
19581929,276869091,14440284,14440284
17904776,16493390,15205798,14336082
239514604,12925072,18713254,1183041
20019623,14075928,16666502,12925072
35620623,35617784,37297633,35617784
14371835,15783361,1647911,5632382
37744442,73485731,32249715,14645160
71575772,15846407,90420314,813286
242197839,14645160,193553877,94881967
28515852,145753059,15846407,14222536
1468401,17194296,20005551,183244041
637013,20978103,14319981,3829151
96851347,19329393,14230524,20978103
81931552,14852174,14230524,72445681
43401958,85853331,266791973,44298103
19616435,85853331,14852083,72928303
9911362,19637934,657863,14413075
27874544,53144495,18498684,87613162
37009864,96851347,14230524,19329393
47549754,15773675,15773675,16540939
14722371,8295072,14693823,11348282
116578836,21436960,16009851,11348282
59347826,35175054,49709710,19562228
76389739,22458328,47802716,92108606
291963936,657863,791124,14413075
18465629,145835700,813286,6539592
36751886,17525171,36753802,36756075
36756075,36751886,36753802,17525171
119551241,26265033,23990483,22207520
36753802,17525171,36751886,36756075
24773,14763,657863,13473852
20893002,14763,15349708,13473852
124300188,45869233,14199378,15280603
31458706,43338999,8487622,17366486
21250550,43166813,8487622,11348282
40318230,15745394,7209642,58961325
136023366,9085252,44080327,19081905
33967973,14803701,657863,207773069
9834422,18193572,5637652,62581962
35164190,39777636,62581962,23545207
56496058,115485051,62581962,14749606
14059864,5637652,14252943,60919433
19938167,62581962,115485051,9779032
202571491,315927670,14275130,47263945
36655928,18605706,16828850,78505915
19081905,44080327,20170060,136023366
35106619,8163442,41384205,41384205
255257867,30260202,148519842,30260202
189947812,343108171,15150609,27077521
766077,10350,3829151,767396
11095422,7093352,10350,14326840
54271342,64508047,1557761,3829151
29574500,7093352,10350,3829151
14688404,3829151,8637672,7093352
10333462,3829151,7093352,14095644
28249901,22828618,14095644,7093352
72648124,7093352,14095644,25102481
7916502,14457449,14826124,14334898
80579036,7846,1557761,14095644
15022385,14095644,766077,7093352
16379962,3829151,14326840,64508047
17464265,3829151,7093352,13348
15822053,14334898,3609021,14594723
45731504,92623,3829151,19679858
104228250,7093352,145685388,14095644
82301437,3829151,10350,749863
6739022,92623,20660609,3829151
8765762,16137743,15493608,22940413
6329422,3829151,10350,14326840
14386518,799640,24187145,8488352
35939969,64508047,3829151,7093352
22940413,11637332,8765762,16137743
15816231,14327577,13348,14826124
15493608,14095644,13838802,14442585
14846698,14886813,13348,14334898
175090245,767396,7093352,3829151
43018238,23511303,210945325,34097876
338517218,33663376,234966314,45067533
78354144,14882900,28584071,25456478
201450888,6265782,40040813,8310002
17659879,19471190,14882900,204817833
47413339,185301542,14880616,160817572
133071628,200913899,38907408,67074655
386791600,95835083,160817572,71593271
37949721,24263801,10921932,175576528
38810795,21339164,28932980,21339164
17092581,7157132,14377213,5162861
154239165,18671559,16786977,15279452
41264383,10696832,48370736,7860742
425896784,14417747,53175839,14363079
113509296,11775382,83883736,11348282
22199645,15685450,93136625,226011346
314291438,18713254,33845113,1715051
192168640,1183041,7861312,18713254
23171993,159143990,89275103,30007373
159143990,89275103,23171993,30007373
343419057,175535957,22189918,31127446
29546945,17134268,22190185,58550415
146504742,29546945,26813101,17093617
93894157,21334955,57325709,135075301
155853583,17417108,57325709,135075301
160539584,117345940,164328875,80051030
289910594,138339427,81605681,36803580
16435969,285861493,6541402,14681605
17425055,14504859,811377,16589206
33121494,91441874,266791973,21048995
57325709,17417108,135075301,93894157
34173635,52831025,25521487,14230524
55137311,30973,50201146,20978103
18103148,16409683,255644127,19329393
128467197,19083469,14534931,514565830
295113092,164058312,125122481,250831586
62605366,19593875,19432203,17429665
21001458,27440970,22657351,122449702
28174342,16191793,19796091,15639527
254103926,43148188,159240767,19432203
14217378,21362105,14607172,60818204
152800843,818647,47635525,19432203
37143791,128358431,47665691,109641671
128302099,18020652,31547129,67451138
45020948,45024771,18020652,31547129
23695888,16303106,18116794,16727535
21945359,17494392,19637934,16303106
85703077,12512092,16727535,17494392
408275277,15186688,40981798,18314308
190807988,58119668,40981798,43003845
91041693,14217624,15279452,18586178
30930904,19104727,36724820,3035491
20154404,18220175,29520390,24481646
92685993,46973152,48100887,14230524
14370145,18337940,16290772,1785751
18777260,62453394,14230524,19151353
17566528,14230524,91441711,19151353
17107836,71366836,158896354,19151353
43211678,18586178,49114409,19948735
47010589,18220175,30317085,22179997
62453394,18777260,14230524,19151353
15105939,8986642,15195224,15185188
23360099,62453394,75324724,19151353
12555382,1310331,15077795,7079062
24647213,115485051,478078032,478078032
14116195,270606087,9115762,140477628
29266729,115485051,30364057,14824849
140477628,9115762,270606087,14116195
16158639,813286,16581861,36843988
14337326,128771911,35406821,87764480
6656062,813286,115485051,30364057
95315781,15865878,25913058,4791
2836421,759251,14677919,6017542
2459371,2425151,5746452,17093617
177970609,166153909,24463640,174787160
16144125,15112961,813286,241214783
247801807,428333,250831586,57706849
20442476,14844734,16356344,24239110
15178968,15500649,19802879,52758395
14704220,11180212,43166813,81155662
16571560,21770611,16624180,16565399
22053641,11348282,11348282,44177383
15086870,11348282,15078840,15009735
19468855,99584939,357887280,23280230
333133782,88749392,813286,50374439
1711451,88749392,50374439,22677790
171835668,17017636,27457788,50374439
18700033,18523512,20727819,28223477
377899975,17517428,7040932,71387848
297035039,48644970,1472021,24704211
82170609,21446951,813286,73182515
44571432,88400893,17207019,22955303
254185943,40477648,81906564,314864509
17461773,17093617,14543034,497327986
263900273,20440287,224532224,19658506
29840828,25447548,33535451,26171262
239709508,115485051,33535451,16303106
372372131,27489148,14888584,25447548
